"","mean_un","mean_un_ci","mean_inf","mean_inf_ci","scale","scale_ci","skew","skew_ci","se","se_ci","sp","sp_ci"
"Central","-0.17","-0.24 , -0.11","1.76","0.76 , 2.79","1.7","1 , 2.67","0.11","-1.79 , 2.13","0.7","0.43 , 0.96","1","1 , 1"
"Coast","-0.54","-0.6 , -0.48","1.05","0.7 , 1.43","1.34","1.02 , 1.79","0.45","-1.15 , 2.46","0.51","0.38 , 0.66","1","1 , 1"
"Eastern/N.Eastern","-0.16","-0.2 , -0.12","1.16","0.64 , 1.77","1.49","1.09 , 2.01","0.49","-1.35 , 2.59","0.54","0.36 , 0.76","1","1 , 1"
"Mombasa","-0.72","-0.76 , -0.69","1.95","1.7 , 2.18","1.43","1.04 , 1.93","-0.96","-2.61 , 0.79","0.8","0.72 , 0.87","1","1 , 1"
"Nairobi","-0.39","-0.46 , -0.33","1.71","1.37 , 2.05","1.47","1.16 , 1.95","0.3","-1.23 , 2.13","0.71","0.6 , 0.81","1","1 , 1"
"Nyanza","-0.11","-0.15 , -0.06","1.21","0.74 , 1.71","1.5","1.1 , 1.93","1.24","-0.86 , 3.11","0.55","0.37 , 0.74","1","0.99 , 1"
"Rift Valley","0.07","0.03 , 0.11","2.33","1.68 , 2.97","1.68","1.18 , 2.38","0.27","-1.49 , 2.26","0.82","0.66 , 0.95","0.99","0.98 , 0.99"
"Western","0.08","-0.01 , 0.17","2.07","0.65 , 3.35","1.56","0.57 , 3.31","0.01","-1.89 , 2.01","0.78","0.42 , 1","0.99","0.98 , 0.99"
"ANC Kilifi Oct","-0.61","-0.67 , -0.55","0.55","-0.12 , 1.33","0.82","0.44 , 1.41","0.02","-0.96 , 1","0.3","0.07 , 0.7","1","1 , 1"
"ANC Kilifi Dec","-0.25","-0.33 , -0.17","1.48","0.76 , 2.24","1.55","1.02 , 2.3","0.36","-1.53 , 2.36","0.64","0.42 , 0.87","1","1 , 1"
"ANC Nairobi","-0.38","-0.58 , -0.19","1.37","1.09 , 1.64","1.26","0.98 , 1.63","0.72","-0.91 , 2.35","0.63","0.52 , 0.74","1","1 , 1"
"HCW Busia","0.11","0.06 , 0.16","2.22","1.53 , 2.88","1.62","1.12 , 2.35","0.18","-1.65 , 2.19","0.8","0.63 , 0.95","0.98","0.98 , 0.99"
"HCW Kilifi","-0.09","-0.15 , -0.02","2.05","1.39 , 2.6","1.31","0.85 , 1.99","0.25","-1.54 , 2.21","0.82","0.61 , 0.97","1","0.99 , 1"
"HCW Nairobi","-0.04","-0.33 , 0.24","1.17","0.86 , 1.49","1.43","1.13 , 1.87","0.5","-1.09 , 2.37","0.55","0.43 , 0.66","0.99","0.96 , 1"
"TRUCKERS Busia","0.64","0.51 , 0.75","1.57","1.19 , 1.94","1.17","0.89 , 1.42","1.88","-0.11 , 3.42","0.73","0.54 , 0.91","0.8","0.73 , 0.88"
"TRUCKERS Magarini","0.64","0.35 , 0.88","1.35","0.95 , 1.9","1.04","0.74 , 1.46","1.11","-0.93 , 2.85","0.64","0.45 , 0.88","0.79","0.61 , 0.94"
"TRUCKERS Malaba","0.55","0.42 , 0.69","1.28","0.9 , 1.74","1.2","0.88 , 1.53","1.48","-0.78 , 3.41","0.6","0.4 , 0.8","0.85","0.77 , 0.92"
